DEPTH_WMSF	HCGR
87.3252	9.8001
87.4776	9.9239
87.63	9.5729
87.7824	10.1267
87.9348	9.6671
88.0872	9.4435
88.2396	8.9701
88.392	9.9245
88.5444	9.822
88.6968	10.8462
88.8492	9.8182
89.0016	10.1012
89.154	9.4799
89.3064	12.2008
89.4588	12.3669
89.6112	12.961
89.7636	11.0137
89.916	11.4739
90.0684	10.0582
90.2208	9.1818
90.3732	9.3348
90.5256	10.5501
90.678	11.0993
90.8304	11.1234
90.9828	10.0202
91.1352	9.157
91.2876	8.7161
91.44	9.8628
91.5924	8.718
91.7448	9.586
91.8972	11.3881
92.0496	10.4589
92.202	9.0188
92.3544	9.0003
92.5068	7.2784
92.6592	7.2144
92.8116	8.0187
92.964	9.5561
93.1164	8.8576
93.2688	9.2932
93.4212	9.5015
93.5736	8.4735
93.726	9.0088
93.8784	9.3935
94.0308	9.5245
94.1832	9.1986
94.3356	10.1886
94.488	9.5656
94.6404	10.0979
94.7928	12.2443
94.9452	11.7746
95.0976	10.9928
95.25	10.7351
95.4024	10.8328
95.5548	10.5938
95.7072	13.3397
95.8596	13.5696
96.012	12.835
96.1644	12.6307
96.3168	12.3024
96.4692	11.7856
96.6216	12.8297
96.774	13.8781
96.9264	14.3818
97.0788	14.4801
97.2312	14.1769
97.3836	14.1642
97.536	15.1408
97.6884	15.4495
97.8408	13.8689
97.9932	13.2536
98.1456	12.0277
98.298	11.6604
98.4504	11.3127
98.6028	11.1704
98.7552	11.296
98.9076	10.8163
99.06	10.5742
99.2124	10.3056
99.3648	10.3342
99.5172	10.5336
99.6696	11.6613
99.822	12.1471
99.9744	10.9718
100.1268	11.885
100.2792	10.9792
100.4316	10.0806
100.584	11.7895
100.7364	11.8692
100.8888	10.0192
101.0412	8.735
101.1936	9.4635
101.346	8.4962
101.4984	10.6117
101.6508	9.9516
101.8032	8.6452
101.9556	9.523
102.108	10.2573
102.2604	10.9534
102.4128	10.7343
102.5652	11.8279
102.7176	11.6381
102.87	12.2464
103.0224	13.0273
103.1748	13.0832
103.3272	12.7719
103.4796	13.3599
103.632	13.2855
103.7844	13.8103
103.9368	11.9778
104.0892	12.0512
104.2416	11.4775
104.394	11.3037
104.5464	10.1693
104.6988	10.4836
104.8512	9.7893
105.0036	9.8575
105.156	8.6027
105.3084	8.1542
105.4608	8.6111
105.6132	9.8057
105.7656	9.7184
105.918	10.6188
106.0704	11.9051
106.2228	10.9729
106.3752	10.4834
106.5276	8.8064
106.68	8.7554
106.8324	9.5823
106.9848	8.8069
107.1372	9.4291
107.2896	10.2107
107.442	10.8368
107.5944	10.0299
107.7468	9.1432
107.8992	9.5418
108.0516	9.9388
108.204	10.3618
108.3564	9.464
108.5088	9.2295
108.6612	8.8523
108.8136	8.6426
108.966	7.3292
109.1184	7.6331
109.2708	7.8624
109.4232	7.1154
109.5756	7.5833
109.728	7.4204
109.8804	8.9872
110.0328	8.6096
110.1852	9.7602
110.3376	10.0126
110.49	10.0608
110.6424	9.8415
110.7948	11.7347
110.9472	11.2026
111.0996	12.0048
111.252	11.7426
111.4044	12.9237
111.5568	13.3448
111.7092	14.1128
111.8616	13.8369
112.014	13.6564
112.1664	13.1606
112.3188	13.2911
112.4712	12.5934
112.6236	12.0323
112.776	12.158
112.9284	11.3451
113.0808	10.6501
113.2332	12.363
113.3856	12.0864
113.538	10.4128
113.6904	10.3798
113.8428	10.2272
113.9952	10.3076
114.1476	10.9551
114.3	11.6872
114.4524	10.3489
114.6048	9.3719
114.7572	8.3928
114.9096	8.0063
115.062	9.0931
115.2144	9.8656
115.3668	7.7937
115.5192	8.4813
115.6716	8.4861
115.824	8.6241
115.9764	8.5748
116.1288	8.1308
116.2812	8.8668
116.4336	10.3908
116.586	11.7645
116.7384	12.4237
116.8908	13.0026
117.0432	13.7567
117.1956	13.0529
117.348	13.8955
117.5004	13.765
117.6528	13.444
117.8052	13.2321
117.9576	13.069
118.11	11.791
118.2624	10.8277
118.4148	10.0884
118.5672	10.2309
118.7196	10.0528
118.872	10.1039
119.0244	9.2778
119.1768	10.653
119.3292	10.4515
119.4816	10.5166
119.634	11.2753
119.7864	11.6145
119.9388	11.5478
120.0912	11.3129
120.2436	11.6044
120.396	11.2055
120.5484	9.714
120.7008	8.4797
120.8532	8.5132
121.0056	8.307
121.158	8.1171
121.3104	8.1427
121.4628	8.2178
121.6152	7.264
121.7676	7.5167
121.92	6.4433
122.0724	7.8525
122.2248	8.743
122.3772	9.6013
122.5296	8.003
122.682	8.8687
122.8344	10.4494
122.9868	10.575
123.1392	10.9208
123.2916	11.0661
123.444	10.7942
123.5964	9.8602
123.7488	7.9483
123.9012	8.1678
124.0536	9.2434
124.206	9.4412
124.3584	9.3416
124.5108	9.1537
124.6632	9.8138
124.8156	10.7464
124.968	10.5518
125.1204	8.9794
125.2728	8.9949
125.4252	8.1339
125.5776	7.79
125.73	7.6091
125.8824	8.6277
126.0348	9.4035
126.1872	9.3952
126.3396	10.2321
126.492	10.7499
126.6444	11.3954
126.7968	12.4057
126.9492	12.135
127.1016	12.4904
127.254	12.6633
127.4064	11.8183
127.5588	12.126
127.7112	11.4629
127.8636	11.9581
128.016	12.1021
128.1684	10.3844
128.3208	9.8788
128.4732	8.2162
128.6256	8.4719
128.778	8.7234
128.9304	8.9847
129.0828	9.8518
129.2352	9.0744
129.3876	10.2625
129.54	9.7018
129.6924	9.3608
129.8448	9.8862
129.9972	9.6699
130.1496	9.2238
130.302	9.2928
130.4544	9.8557
130.6068	10.7798
130.7592	11.2026
130.9116	11.8834
131.064	11.7229
131.2164	11.1068
131.3688	11.8289
131.5212	10.9277
131.6736	10.9308
131.826	11.1372
131.9784	12.2473
132.1308	10.7345
132.2832	11.1852
132.4356	11.6657
132.588	12.6178
132.7404	12.817
132.8928	11.8056
133.0452	8.7034
133.1976	8.4778
133.35	9.08
133.5024	8.4262
133.6548	8.4429
133.8072	8.4734
133.9596	8.711
134.112	9.6212
134.2644	10.106
134.4168	9.3039
134.5692	10.3654
134.7216	12.1712
134.874	11.8958
135.0264	11.8771
135.1788	11.7178
135.3312	10.3648
135.4836	10.7956
135.636	12.1179
135.7884	12.449
135.9408	12.4638
136.0932	11.9818
136.2456	10.6298
136.398	10.2948
136.5504	9.7614
136.7028	10.1702
136.8552	12.1549
137.0076	11.3498
137.16	11.6723
137.3124	10.461
137.4648	10.3108
137.6172	11.3145
137.7696	11.0971
137.922	13.6918
138.0744	13.6657
138.2268	13.6108
138.3792	11.9623
138.5316	11.3667
138.684	11.8473
138.8364	13.0487
138.9888	13.3223
139.1412	13.8358
139.2936	12.3805
139.446	12.867
139.5984	11.3923
139.7508	12.3199
139.9032	12.9827
140.0556	14.2282
140.208	13.8071
140.3604	14.9915
140.5128	13.6175
140.6652	14.4832
140.8176	15.2002
140.97	16.7627
141.1224	15.8381
141.2748	16.2567
141.4272	16.1781
141.5796	14.2108
141.732	13.1276
141.8844	12.1483
142.0368	11.2105
142.1892	11.8819
142.3416	12.5995
142.494	13.0262
142.6464	13.0134
142.7988	12.2964
142.9512	10.76
143.1036	8.5601
143.256	9.0123
143.4084	9.306
143.5608	9.9404
143.7132	9.8405
143.8656	8.8345
144.018	9.3115
144.1704	9.278
144.3228	8.5899
144.4752	8.7472
144.6276	10.0617
144.78	11.9244
144.9324	11.7103
145.0848	12.2045
145.2372	11.7036
145.3896	13.9587
145.542	14.3536
145.6944	14.8769
145.8468	16.6359
145.9992	17.6522
146.1516	17.7601
146.304	16.1926
146.4564	15.687
146.6088	15.1768
146.7612	15.2861
146.9136	14.0603
147.066	13.0305
147.2184	13.6666
147.3708	13.7548
147.5232	15.6906
147.6756	16.9502
147.828	17.0904
147.9804	16.8719
148.1328	17.881
148.2852	19.1176
148.4376	17.9317
148.59	17.8966
148.7424	16.6492
148.8948	17.1546
149.0472	16.9588
149.1996	15.7646
149.352	14.311
149.5044	13.4927
149.6568	12.3383
149.8092	12.5465
149.9616	11.6211
150.114	12.6726
150.2664	10.3455
150.4188	10.3746
150.5712	10.7565
150.7236	11.2805
150.876	11.6647
151.0284	12.6072
151.1808	14.3054
151.3332	14.7243
151.4856	14.4732
151.638	13.9005
151.7904	12.6189
151.9428	13.389
152.0952	13.2072
152.2476	11.4307
152.4	10.3596
152.5524	11.2618
152.7048	11.7653
152.8572	12.0247
153.0096	11.8298
153.162	12.738
153.3144	14.3303
153.4668	16.2385
153.6192	15.1972
153.7716	15.771
153.924	15.4328
154.0764	16.4763
154.2288	17.8705
154.3812	18.8646
154.5336	19.5536
154.686	19.0037
154.8384	17.2967
154.9908	14.8164
155.1432	15.6904
155.2956	15.9754
155.448	15.7019
155.6004	15.9471
155.7528	17.784
155.9052	16.5336
156.0576	15.1636
156.21	15.7909
156.3624	17.8145
156.5148	17.6698
156.6672	19.9343
156.8196	17.8503
156.972	18.4407
157.1244	18.3887
157.2768	18.4373
157.4292	17.1852
157.5816	17.5363
157.734	18.7246
157.8864	21.1331
158.0388	23.0253
158.1912	23.2561
158.3436	22.9143
158.496	23.1234
158.6484	23.7447
158.8008	24.9545
158.9532	27.2562
159.1056	27.7272
159.258	27.6814
159.4104	25.9583
159.5628	23.0653
159.7152	21.9243
159.8676	20.2425
160.02	18.6981
160.1724	18.0889
160.3248	18.7792
160.4772	19.0272
160.6296	18.8037
160.782	18.1319
160.9344	17.5529
161.0868	18.2454
161.2392	20.4573
161.3916	22.116
161.544	24.593
161.6964	24.4886
161.8488	24.6686
162.0012	23.3757
162.1536	23.5476
162.306	24.1804
162.4584	21.6612
162.6108	20.5868
162.7632	20.8279
162.9156	21.3044
163.068	21.728
163.2204	24.3394
163.3728	25.3206
163.5252	26.1776
163.6776	25.4483
163.83	25.1379
163.9824	25.0473
164.1348	27.0232
164.2872	27.2784
164.4396	28.8752
164.592	30.9321
164.7444	33.1961
164.8968	31.3342
165.0492	30.6467
165.2016	31.2275
165.354	31.5525
165.5064	31.8395
165.6588	32.026
165.8112	34.2934
165.9636	35.6627
166.116	34.8284
166.2684	31.3562
166.4208	28.4502
166.5732	26.9688
166.7256	25.5347
166.878	22.2892
167.0304	21.7163
167.1828	21.3143
167.3352	22.1215
167.4876	22.3834
167.64	24.454
167.7924	26.2608
167.9448	27.6478
168.0972	26.1822
168.2496	25.3006
168.402	21.9878
168.5544	22.5391
168.7068	20.7527
168.8592	20.3979
169.0116	20.4763
169.164	20.7397
169.3164	20.829
169.4688	20.6653
169.6212	21.9234
169.7736	22.7062
169.926	21.1802
170.0784	22.4705
170.2308	23.5998
170.3832	26.2763
170.5356	29.7582
170.688	30.7882
170.8404	29.5146
170.9928	30.5276
171.1452	30.0198
171.2976	30.5404
171.45	31.6778
171.6024	31.8078
171.7548	28.8696
171.9072	29.3903
172.0596	29.2693
172.212	26.7403
172.3644	25.5589
172.5168	27.1227
172.6692	27.7492
172.8216	27.0056
172.974	23.668
173.1264	24.2026
173.2788	25.6266
173.4312	26.6675
173.5836	25.8659
173.736	25.446
173.8884	24.5823
174.0408	24.0944
174.1932	22.6078
174.3456	21.9019
174.498	22.8565
174.6504	23.7364
174.8028	24.5494
174.9552	26.0525
175.1076	26.4493
175.26	26.2579
175.4124	30.9217
175.5648	29.2712
175.7172	26.6818
175.8696	24.3159
176.022	24.916
176.1744	26.5594
176.3268	28.2337
176.4792	29.3231
176.6316	28.7497
176.784	28.9744
176.9364	27.9904
177.0888	22.8831
177.2412	22.3055
177.3936	21.6341
177.546	21.8853
177.6984	20.1476
177.8508	17.9314
178.0032	16.843
178.1556	16.4792
178.308	16.6054
178.4604	13.6966
178.6128	13.3739
178.7652	14.7393
178.9176	14.4632
179.07	15.9778
179.2224	17.6157
179.3748	17.5265
179.5272	18.6906
179.6796	19.9974
179.832	21.6432
179.9844	22.264
180.1368	25.5507
180.2892	26.2983
180.4416	27.1245
180.594	27.1434
180.7464	24.8673
180.8988	23.5544
181.0512	22.9007
181.2036	21.7522
181.356	19.828
181.5084	20.7554
181.6608	25.0608
181.8132	22.5551
181.9656	23.0033
182.118	22.5893
182.2704	23.8287
182.4228	24.3012
182.5752	25.3536
182.7276	26.071
182.88	26.4246
183.0324	28.1758
183.1848	26.652
183.3372	23.3819
183.4896	22.1704
183.642	22.2832
183.7944	22.3698
183.9468	22.6663
184.0992	20.434
184.2516	20.1919
184.404	18.8431
184.5564	19.457
184.7088	20.1282
184.8612	22.029
185.0136	21.0251
185.166	23.1755
185.3184	23.5926
185.4708	27.0641
185.6232	27.6643
185.7756	29.64
185.928	26.0057
186.0804	25.7487
186.2328	25.4765
186.3852	25.8062
186.5376	26.3996
186.69	30.1517
186.8424	31.0653
186.9948	32.9974
187.1472	32.6032
187.2996	32.1581
187.452	31.1805
187.6044	32.012
187.7568	31.5568
187.9092	28.2993
188.0616	26.5047
188.214	23.9039
188.3664	25.9113
188.5188	26.5125
188.6712	29.2863
188.8236	26.2262
188.976	26.9348
189.1284	25.6154
189.2808	24.8133
189.4332	23.5437
189.5856	23.4588
189.738	22.2838
189.8904	22.6351
190.0428	23.2921
190.1952	24.9284
190.3476	25.0255
190.5	24.4644
190.6524	24.0188
190.8048	26.4331
190.9572	29.2342
191.1096	29.7624
191.262	25.4909
191.4144	23.8866
191.5668	21.1317
191.7192	23.4322
191.8716	21.7421
192.024	20.5392
192.1764	20.3576
192.3288	21.3532
192.4812	23.6136
192.6336	21.8007
192.786	22.5777
192.9384	23.7668
193.0908	24.4459
193.2432	23.9993
193.3956	25.3762
193.548	26.0468
193.7004	27.4778
193.8528	29.7477
194.0052	34.2038
194.1576	35.8372
194.31	36.4146
194.4624	36.9633
194.6148	35.938
194.7672	38.2362
194.9196	37.6147
195.072	36.2046
195.2244	34.5435
195.3768	34.0739
195.5292	31.7435
195.6816	31.9797
195.834	32.244
195.9864	35.2931
196.1388	35.4152
196.2912	33.6662
196.4436	29.8711
196.596	26.2325
196.7484	23.6547
196.9008	23.017
197.0532	21.6796
197.2056	22.0726
197.358	23.6467
197.5104	23.3615
197.6628	23.7185
197.8152	21.1064
197.9676	20.4738
198.12	21.0949
198.2724	20.1874
198.4248	19.141
198.5772	17.0465
