metres,GR
268.3764,13.8395
268.5288,14.5354
268.6812,14.9177
268.8336,13.5215
268.986,13.5479
269.1384,14.4091
269.2908,14.563
269.4432,13.5581
269.5956,12.8999
269.748,13.4649
269.9004,14.9642
270.0528,16.469
270.2052,17.339
270.3576,18.8392
270.51,19.9151
270.6624,18.9999
270.8148,20.4539
270.9672,20.48
271.1196,20.6713
271.272,21.7121
271.4244,22.382
271.5768,21.2585
271.7292,20.1479
271.8816,19.6091
272.034,19.3691
272.1864,19.1442
272.3388,16.5345
272.4912,15.3733
272.6436,14.0286
272.796,14.8778
272.9484,14.8655
273.1008,13.841
273.2532,12.5936
273.4056,12.0217
273.558,13.2549
273.7104,15.3259
273.8628,16.2772
274.0152,15.743
274.1676,15.1405
274.32,15.4072
274.4724,14.9937
274.6248,13.8426
274.7772,15.0281
274.9296,16.2448
275.082,16.324
275.2344,15.1754
275.3868,14.2549
275.5392,13.4197
275.6916,12.739
275.844,12.7347
275.9964,13.4118
276.1488,13.1935
276.3012,12.7469
276.4536,13.3665
276.606,13.1988
276.7584,11.0105
276.9108,10.5572
277.0632,10.0347
277.2156,9.5688
277.368,10.4365
277.5204,11.2585
277.6728,11.852
277.8252,12.4602
277.9776,13.3523
278.13,14.3339
278.2824,14.5912
278.4348,13.5146
278.5872,13.8092
278.7396,14.3619
278.892,14.5059
279.0444,13.6535
279.1968,13.9693
279.3492,14.5905
279.5016,14.9225
279.654,14.6366
279.8064,14.9044
279.9588,15.0762
280.1112,14.7213
280.2636,14.053
280.416,13.7294
280.5684,13.6294
280.7208,13.8942
280.8732,14.3762
281.0256,14.5139
281.178,14.3045
281.3304,13.8563
281.4828,13.7489
281.6352,14.7818
281.7876,15.753
281.94,16.4681
282.0924,16.5737
282.2448,15.1108
282.3972,14.4199
282.5496,14.6466
282.702,14.3613
282.8544,15.1021
283.0068,14.7072
283.1592,13.3494
283.3116,13.0019
283.464,12.9955
283.6164,12.8173
283.7688,13.0709
283.9212,12.5191
284.0736,12.835
284.226,14.252
284.3784,14.8553
284.5308,15.0752
284.6832,15.2237
284.8356,15.585
284.988,16.3001
285.1404,17.2348
285.2928,18.0604
285.4452,18.2096
285.5976,16.5187
285.75,14.4267
285.9024,13.4639
286.0548,13.1679
286.2072,12.9272
286.3596,12.7314
286.512,12.953
286.6644,13.3172
286.8168,11.9063
286.9692,11.316
287.1216,10.3263
287.274,11.4006
287.4264,12.5012
287.5788,13.0259
287.7312,13.6837
287.8836,14.0111
288.036,14.4371
288.1884,13.7627
288.3408,12.395
288.4932,13.3847
288.6456,13.6572
288.798,13.4066
288.9504,14.6211
289.1028,15.1855
289.2552,15.7908
289.4076,15.3468
289.56,14.3914
289.7124,13.9633
289.8648,14.2974
290.0172,15.8584
290.1696,17.0683
290.322,17.8315
290.4744,18.0356
290.6268,17.3822
290.7792,15.5589
290.9316,14.5914
291.084,14.3115
291.2364,14.1756
291.3888,13.8817
291.5412,13.0142
291.6936,13.4407
291.846,14.9482
291.9984,16.0765
292.1508,16.4502
292.3032,17.1121
292.4556,16.9777
292.608,16.3507
292.7604,15.203
292.9128,15.6719
293.0652,16.6195
293.2176,16.4862
293.37,17.0369
293.5224,17.8206
293.6748,17.5448
293.8272,17.3837
293.9796,19.0898
294.132,20.4149
294.2844,20.7893
294.4368,20.0588
294.5892,19.6673
294.7416,19.7073
294.894,19.7076
295.0464,18.7361
295.1988,19.3748
295.3512,19.4801
295.5036,16.6696
295.656,14.8767
295.8084,14.0484
295.9608,14.1658
296.1132,14.0948
296.2656,13.4153
296.418,11.2452
296.5704,10.8846
296.7228,11.6437
296.8752,12.4733
297.0276,12.3194
