DEPTH	Depth (m)	Depth bsf	Caliper	Bulk Density Correction	Sonic	Gamma Ray	IL-Deep Resistivity	Latero-Log Deep	Latero-Log Shallow	MSFL Resistivity	Neutron Porosity	Photo Electric Factor	Bulk Density	Spherical Focusing Log	Spontaneous Potential
9306	2836.4688	2712.4688	13.7412	-0.0085	80.694	100.2745	-999.25	4.9372	3.0517	5.7222	22.7326	1.9439	2.5384	-999.25	56.8624
9306.5	2836.6212	2712.6212	13.7486	-0.0073	79.2638	106.9316	-999.25	5.3046	3.3753	5.2193	20.537	1.9683	2.5373	-999.25	56.6527
9307	2836.7736	2712.7736	13.7573	-0.0056	78.5823	112.9342	-999.25	5.5584	3.6604	4.0058	19.2337	1.9516	2.543	-999.25	56.1134
9307.5	2836.926	2712.926	13.7677	-0.0045	78.2718	116.5171	-999.25	5.7449	3.9451	4.7604	19.3435	1.8892	2.5585	-999.25	55.6837
9308	2837.0784	2713.0784	13.778	-0.005	78.2109	118.9682	-999.25	5.8426	4.0636	5.4005	20.5177	1.7927	2.5728	-999.25	55.9075
9308.5	2837.2308	2713.2308	13.7894	-0.004	78.2682	120.6082	-999.25	5.8956	4.065	5.6761	21.5999	1.7021	2.5822	-999.25	56.719
9309	2837.3832	2713.3832	13.8008	-0.0012	78.4227	121.792	-999.25	5.8845	3.9943	6.3673	22.0628	1.6331	2.5867	-999.25	57.5355
9309.5	2837.5356	2713.5356	13.8132	0.0015	78.9541	122.5313	-999.25	5.8157	3.8509	7.0081	22.3046	1.6116	2.586	-999.25	58.0425
9310	2837.688	2713.688	13.826	0.0031	79.9534	122.6866	-999.25	5.695	3.6782	7.1241	22.7779	1.6619	2.5795	-999.25	57.9504
9310.5	2837.8404	2713.8404	13.8404	0.0008	80.9813	122.0227	-999.25	5.4784	3.5368	5.9359	23.529	1.6997	2.5683	-999.25	57.4298
9311	2837.9928	2713.9928	13.8556	-0.0016	81.6934	119.4574	-999.25	5.2521	3.4312	4.2822	24.4493	1.7122	2.5648	-999.25	57.0084
9311.5	2838.1452	2714.1452	13.86	-0.0028	81.7924	114.3932	-999.25	5.0211	3.35	4.3472	25.233	1.6979	2.5622	-999.25	57.0993
9312	2838.2976	2714.2976	13.8781	-0.0025	81.3633	109.1749	-999.25	4.739	3.2838	4.4038	25.3637	1.655	2.555	-999.25	57.7674
9312.5	2838.45	2714.45	13.9096	-0.0002	82.0695	105.1466	-999.25	4.4356	3.1138	5.925	24.8796	1.5935	2.5417	-999.25	57.8557
9313	2838.6024	2714.6024	13.9175	0.0016	85.4302	101.8265	-999.25	3.7947	2.6388	5.8513	24.5782	1.5238	2.5281	-999.25	56.3787
9313.5	2838.7548	2714.7548	13.9227	0.0004	90.7968	99.529	-999.25	2.999	2.2164	5.9041	25.7225	1.4444	2.4548	-999.25	55.1274
9314	2838.9072	2714.9072	13.9111	-0.0024	97.0912	99.6103	-999.25	2.1349	1.8979	2.4584	28.2187	1.3892	2.4325	-999.25	54.7298
9314.5	2839.0596	2715.0596	13.8846	-0.0043	102.1582	105.3905	-999.25	1.9849	1.65	2.139	30.2936	1.38	2.4162	-999.25	54.3558
9315	2839.212	2715.212	13.8487	-0.0037	102.4034	117.2204	-999.25	1.9244	1.5754	2.0739	30.4923	1.4843	2.4118	-999.25	53.5264
9315.5	2839.3644	2715.3644	13.8218	-0.0015	97.2292	128.4461	-999.25	2.0158	1.688	2.2237	28.7365	1.7417	2.4268	-999.25	52.7123
9316	2839.5168	2715.5168	13.7986	0.0046	90.9592	135.8568	-999.25	2.3566	1.8272	2.2529	27.1723	2.0118	2.4368	-999.25	52.0959
9316.5	2839.6692	2715.6692	13.7765	0.0115	88.4049	139.7139	-999.25	2.5671	1.9569	3.6944	27.0987	2.1907	2.4381	-999.25	51.8267
